timestamp,type,hour_c0,c0_o,c0_h,c0_l,c0_c,c1_o,c1_h,c1_l,c1_c,c2_o,c2_h,c2_l,c2_c,swept_mid,swept_first,swept_open,potential_stop_loss,potential_reward_excursion,hit_target,hit_stop_loss,reward_achieved,risk_taken
2025-04-24 04:05:00,bullish,4.0,18699.0,18699.5,18648.25,18655.25,18656.25,18669.5,18648.0,18661.0,18659.75,18673.5,18651.0,18653.5,True,False,False,18648.0,46.0,False,True,0.0,5.5
2025-04-24 04:25:00,bullish,4.0,18658.75,18659.5,18633.25,18634.5,18635.0,18642.75,18625.0,18639.0,18640.0,18642.25,18619.0,18629.25,False,False,False,18625.0,30.25,False,True,0.0,4.25
2025-04-24 04:40:00,bullish,4.0,18630.0,18631.0,18598.75,18616.25,18615.0,18620.5,18595.25,18609.5,18610.5,18616.25,18594.75,18615.25,False,False,False,18595.25,15.75,True,False,15.75,20.0
2025-04-24 05:10:00,bearish,5.0,18634.75,18650.0,18633.25,18647.5,18647.25,18658.0,18641.25,18646.5,18646.25,18657.75,18637.5,18653.75,True,False,False,18658.0,20.5,False,True,0.0,4.25
2025-04-24 05:20:00,bearish,5.0,18646.25,18657.75,18637.5,18653.75,18654.25,18659.5,18652.0,18654.25,18654.5,18665.75,18652.25,18664.5,False,False,False,18659.5,27.0,False,True,0.0,5.0
2025-04-24 06:40:00,bearish,6.0,18749.75,18781.75,18749.75,18781.0,18782.0,18791.5,18768.25,18778.0,18781.25,18826.5,18773.0,18817.5,False,False,False,18791.5,67.75,False,True,0.0,26.0
2025-04-24 06:50:00,bearish,6.0,18781.25,18826.5,18773.0,18817.5,18817.0,18839.5,18810.25,18817.0,18816.25,18823.0,18778.25,18785.25,True,False,True,18839.5,12.25,True,False,12.25,54.25
2025-04-24 07:00:00,bullish,7.0,18816.25,18823.0,18778.25,18785.25,18783.75,18789.25,18776.0,18780.75,18782.0,18789.5,18772.75,18775.75,True,False,False,18776.0,47.25,False,True,0.0,0.25
2025-04-24 07:15:00,bullish,7.0,18775.25,18777.75,18744.75,18753.25,18752.75,18756.0,18738.25,18746.75,18747.5,18768.25,18741.0,18751.0,True,False,False,18738.25,26.75,False,True,0.0,12.75
2025-04-24 08:35:00,bearish,8.0,18816.0,18859.5,18812.0,18857.25,18857.5,18865.75,18847.0,18856.5,18856.25,18860.25,18822.5,18846.5,True,False,False,18865.75,34.5,False,True,0.0,19.25
2025-04-24 10:40:00,bullish,10.0,19153.5,19161.0,19108.0,19121.5,19121.75,19130.0,19087.25,19123.25,19123.75,19136.0,19102.5,19130.5,True,False,False,19087.25,30.5,True,False,30.5,43.25
2025-04-24 11:55:00,bullish,11.0,19205.0,19215.0,19150.5,19162.75,19163.0,19179.25,19146.75,19166.25,19166.5,19170.0,19140.25,19147.0,False,False,False,19146.75,68.0,False,True,0.0,0.25
2025-04-24 12:30:00,bearish,12.0,19226.75,19255.75,19221.25,19248.75,19248.75,19266.0,19242.75,19253.5,19252.75,19260.25,19233.0,19240.75,True,False,False,19266.0,19.5,True,False,19.5,25.25
2025-04-24 12:40:00,bullish,12.0,19252.75,19260.25,19233.0,19240.75,19241.25,19243.75,19218.25,19236.75,19238.25,19246.5,19230.0,19242.25,True,False,False,19218.25,18.0,True,False,18.0,24.0
2025-04-24 14:45:00,bearish,14.0,19302.75,19316.5,19295.25,19311.75,19311.75,19325.0,19307.75,19313.75,19313.5,19315.5,19292.0,19293.25,True,True,True,19325.0,-2.0,True,False,-2.0,31.75
2025-04-24 16:15:00,bullish,16.0,19351.75,19359.5,19328.0,19333.0,19333.0,19340.0,19322.75,19333.75,19334.5,19353.25,19332.25,19340.25,True,False,True,19322.75,19.25,True,False,19.25,17.5
2025-04-24 16:35:00,bearish,16.0,19341.75,19363.5,19338.75,19363.0,19362.25,19374.75,19360.75,19361.25,19360.5,19361.25,19343.5,19346.0,True,False,False,19374.75,7.25,True,False,7.25,28.75
2025-04-24 18:00:00,bullish,18.0,19405.0,19427.0,19360.5,19362.75,19362.5,19378.5,19360.25,19365.0,19365.25,19378.25,19352.25,19377.25,False,False,False,19360.25,49.75,True,False,49.75,17.0
2025-04-24 18:15:00,bearish,18.0,19378.25,19398.0,19377.5,19392.0,19390.0,19401.25,19385.25,19397.5,19399.0,19406.5,19393.25,19404.0,False,False,False,19401.25,26.5,False,True,0.0,2.75
2025-04-24 19:00:00,bullish,19.0,19406.75,19412.25,19397.0,19399.75,19398.5,19402.75,19396.5,19402.25,19400.75,19409.5,19399.0,19409.0,True,False,True,19396.5,3.25,True,False,3.25,12.5
2025-04-24 19:40:00,bearish,19.0,19414.25,19427.5,19409.0,19426.0,19426.25,19435.5,19423.0,19425.5,19426.0,19427.5,19403.5,19404.75,True,True,True,19435.5,-4.25,True,False,-4.25,30.75
2025-04-24 23:30:00,bearish,23.0,19406.5,19432.75,19405.0,19429.25,19429.75,19435.5,19420.25,19430.5,19431.0,19438.25,19419.0,19420.0,True,False,False,19435.5,15.0,False,True,0.0,15.5
2025-04-25 00:05:00,bearish,0.0,19449.0,19486.75,19445.0,19477.75,19478.5,19489.5,19471.5,19485.75,19485.0,19497.5,19471.0,19472.25,True,False,False,19489.5,27.25,True,False,27.25,17.25
2025-04-25 00:30:00,bullish,0.0,19427.0,19430.25,19401.75,19412.75,19414.0,19418.5,19397.25,19403.25,19404.25,19428.5,19404.25,19427.25,True,False,True,19397.25,3.0,True,False,3.0,30.0
2025-04-25 04:30:00,bullish,4.0,19418.75,19424.0,19400.0,19404.5,19405.0,19408.5,19383.5,19400.5,19401.25,19408.75,19394.5,19400.0,True,False,False,19383.5,24.0,True,False,24.0,16.5
2025-04-25 05:10:00,bullish,5.0,19380.5,19380.5,19368.0,19370.75,19370.5,19375.5,19344.25,19375.25,19375.5,19391.0,19372.5,19386.75,True,True,True,19344.25,-6.25,True,False,-6.25,42.5
2025-04-25 07:40:00,bullish,7.0,19279.75,19287.25,19242.0,19242.0,19242.0,19258.25,19240.0,19253.5,19254.25,19266.0,19246.5,19248.75,True,False,False,19240.0,38.5,False,True,0.0,8.75
2025-04-25 08:45:00,bullish,8.0,19274.75,19278.75,19245.25,19256.0,19256.5,19257.0,19240.25,19249.75,19249.0,19257.0,19241.0,19245.25,True,False,False,19240.25,33.5,False,True,0.0,5.0
2025-04-25 09:00:00,bearish,9.0,19245.0,19259.0,19216.25,19253.0,19252.25,19297.25,19249.75,19258.25,19258.5,19284.25,19258.5,19279.0,False,False,False,19297.25,62.75,False,True,0.0,18.25
2025-04-25 09:10:00,bearish,9.0,19258.5,19284.25,19258.5,19279.0,19278.75,19288.25,19270.0,19284.0,19283.25,19293.25,19282.5,19289.25,False,False,False,19288.25,30.75,False,True,0.0,1.0
2025-04-25 10:20:00,bullish,10.0,19359.25,19369.0,19252.5,19296.5,19297.75,19301.0,19242.0,19271.0,19271.5,19310.5,19233.75,19299.5,True,False,False,19242.0,69.5,True,False,69.5,57.5
2025-04-25 15:50:00,bearish,15.0,19474.5,19539.5,19474.5,19530.25,19529.75,19546.75,19514.0,19530.25,19530.25,19563.0,19529.0,19534.25,False,False,False,19546.75,59.75,False,True,0.0,12.5
2025-04-25 16:10:00,bearish,16.0,19538.75,19556.25,19538.5,19555.25,19555.5,19561.0,19552.25,19553.5,19553.25,19559.25,19545.0,19549.25,True,False,False,19561.0,10.75,False,True,0.0,11.75
2025-04-25 16:45:00,bearish,16.0,19541.75,19553.75,19540.5,19550.25,19550.75,19556.5,19548.25,19550.0,19549.5,19554.75,19548.0,19554.75,True,False,False,19556.5,14.25,True,False,14.25,1.75
2025-04-27 18:55:00,bullish,18.0,19466.75,19469.5,19450.0,19460.5,19459.75,19460.5,19445.0,19458.0,19458.5,19461.25,19439.25,19450.75,True,False,False,19445.0,18.75,False,True,0.0,5.75
2025-04-27 20:10:00,bullish,20.0,19451.5,19453.25,19431.5,19436.0,19436.5,19443.25,19428.5,19433.25,19432.75,19432.75,19417.75,19426.0,False,False,False,19428.5,27.25,False,True,0.0,2.5
2025-04-27 21:10:00,bearish,21.0,19406.5,19431.5,19405.0,19431.5,19430.25,19432.75,19420.75,19422.5,19422.5,19423.0,19407.0,19407.0,True,False,False,19432.75,2.0,True,False,2.0,25.75
2025-04-27 22:15:00,bearish,22.0,19427.5,19450.0,19425.5,19439.5,19439.25,19452.25,19438.75,19446.75,19447.25,19448.25,19438.5,19444.75,True,False,False,19452.25,19.25,True,False,19.25,7.5
2025-04-27 23:20:00,bullish,23.0,19419.5,19420.25,19402.75,19405.0,19406.0,19410.75,19396.75,19410.25,19410.25,19414.0,19408.75,19409.25,True,False,False,19396.75,11.0,False,True,0.0,12.5
2025-04-27 23:25:00,bearish,23.0,19406.0,19410.75,19396.75,19410.25,19410.25,19414.0,19408.75,19409.25,19408.0,19408.25,19404.25,19407.75,True,False,True,19414.0,11.0,True,False,11.0,6.25
2025-04-28 00:15:00,bullish,0.0,19412.0,19412.75,19407.0,19410.25,19410.25,19410.75,19406.25,19410.0,19410.75,19425.25,19408.75,19422.75,True,True,True,19406.25,-10.0,True,False,-10.0,16.5
