timestamp,type,hour_c0,prev_1d_cat,c0_o,c0_h,c0_l,c0_c,c1_o,c1_h,c1_l,c1_c,c2_o,c2_h,c2_l,c2_c,swept_mid,swept_first,swept_open,potential_stop_loss,potential_reward_excursion,hit_target,hit_stop_loss,reward_achieved,risk_taken
2025-01-07 02:00:00,bullish,2.0,Not Analyzed,21768.0,21785.5,21733.75,21737.75,21738.5,21752.0,21715.75,21747.25,21747.25,21747.75,21719.0,21720.5,False,False,False,4.75,54.0,True,True,0.0,4.75
2025-01-07 16:00:00,bullish,16.0,Not Analyzed,21548.5,21573.25,21425.5,21435.0,21435.75,21475.75,21387.0,21445.0,21445.5,21517.25,21427.75,21440.0,True,False,False,53.0,34.75,False,True,0.0,53.0
2025-01-09 03:00:00,bullish,3.0,Not Analyzed,21344.75,21344.75,21310.0,21310.75,21311.0,21317.25,21293.0,21310.75,21310.25,21329.25,21302.25,21323.0,True,False,False,30.0,11.5,False,True,0.0,30.0
2025-01-10 07:00:00,bearish,7.0,Not Analyzed,21244.0,21292.25,21233.75,21271.0,21270.0,21299.5,21258.5,21283.25,21283.5,21294.75,21248.5,21277.25,True,False,False,22.25,267.25,True,True,0.0,22.25
2025-01-10 10:00:00,bearish,10.0,Not Analyzed,21278.0,21321.5,21270.25,21315.75,21316.75,21372.5,21312.5,21316.0,21316.5,21323.5,21257.0,21322.0,True,True,True,50.5,447.25,True,False,44.0,50.5
2025-01-10 13:00:00,bullish,13.0,Not Analyzed,21320.75,21323.5,21045.0,21116.25,21115.5,21197.25,21010.0,21052.75,21053.0,21123.5,20874.75,20989.0,False,False,False,0.0,187.5,False,True,0.0,21.0
2025-01-13 17:00:00,bearish,17.0,Not Analyzed,20737.5,20895.0,20718.25,20890.0,20890.0,20913.75,20856.25,20892.5,20891.75,20926.5,20835.25,20906.25,True,False,False,7.5,32.5,False,True,0.0,7.5
2025-01-14 09:00:00,bullish,9.0,Not Analyzed,21122.75,21130.0,21084.0,21100.0,21100.75,21108.0,21073.25,21095.25,21094.75,21094.75,21034.5,21042.75,False,False,False,0.0,95.75,True,True,0.0,30.5
2025-01-14 23:00:00,bullish,23.0,Not Analyzed,20977.0,20977.0,20938.5,20948.0,20947.75,20958.25,20937.25,20955.0,20955.5,20963.5,20941.0,20953.0,True,False,False,15.75,3.75,False,True,0.0,15.75
2025-01-15 02:00:00,bullish,2.0,Not Analyzed,20953.0,20956.5,20931.5,20937.75,20936.75,20944.25,20931.25,20935.25,20936.0,20947.25,20927.0,20945.0,True,False,False,13.75,27.0,True,True,0.0,13.75
2025-01-15 13:00:00,bearish,13.0,Not Analyzed,20997.0,21329.0,20980.25,21281.25,21281.5,21345.0,21186.75,21327.25,21328.0,21408.0,21318.5,21319.75,False,False,False,25.25,73.5,False,True,0.0,25.25
